pdb_code,filename,vina,vinardo
1A1M.pdb,pMHC_0019.pdb,-21.0859,-17.85108
1A1M.pdb,pMHC_0016.pdb,-20.94317,-17.8283
1A1M.pdb,pMHC_0018.pdb,-20.96322,-17.74441
1A1M.pdb,pMHC_0045.pdb,1000.0,1000.0
1A1M.pdb,pMHC_0000.pdb,-21.30254,-18.09781
1A1M.pdb,pMHC_0096.pdb,1000.0,1000.0
1A1M.pdb,pMHC_0004.pdb,-20.96103,-17.81203
1A1M.pdb,pMHC_0013.pdb,-21.13146,-17.8374
1A1M.pdb,pMHC_0008.pdb,-20.74015,-17.66759
1A1M.pdb,pMHC_0011.pdb,-21.05302,-17.88697
1A1M.pdb,pMHC_0002.pdb,-20.74237,-17.74184
1A1M.pdb,pMHC_0010.pdb,-21.18031,-17.95394
1A1M.pdb,pMHC_0003.pdb,-21.12582,-17.89384
1A1M.pdb,pMHC_0006.pdb,-20.83586,-17.67751
1A1M.pdb,pMHC_0014.pdb,-20.04776,-16.49832
1A1M.pdb,pMHC_0061.pdb,-18.70716,-15.50535
1A1M.pdb,pMHC_0053.pdb,-22.54875,-19.37489
1A1M.pdb,pMHC_0005.pdb,-20.79521,-17.65171
1A1M.pdb,pMHC_0012.pdb,-21.16994,-17.94831
1A1M.pdb,pMHC_0001.pdb,-21.17038,-17.9768
1A1M.pdb,pMHC_0015.pdb,-21.11725,-17.89406
1A1M.pdb,pMHC_0066.pdb,-21.9537,-18.81791
1A1M.pdb,pMHC_0017.pdb,-21.18952,-17.93174
1A1M.pdb,pMHC_0009.pdb,-21.0376,-17.90335
1A1M.pdb,pMHC_0007.pdb,-21.12186,-17.9714
1A1N.pdb,pMHC_108.pdb,-24.07699,-18.82621
1A1N.pdb,pMHC_008.pdb,-22.6709,-16.83685
1A1N.pdb,pMHC_101.pdb,-24.07568,-18.63367
1A1N.pdb,pMHC_115.pdb,-22.25194,-17.30296
1A1N.pdb,pMHC_146.pdb,-20.34919,-15.4936
1A1N.pdb,pMHC_125.pdb,-23.57927,-17.97213
1A1N.pdb,pMHC_021.pdb,-22.89902,-17.68324
1A1N.pdb,pMHC_011.pdb,-20.03973,-14.56988
1A1N.pdb,pMHC_126.pdb,-23.35362,-17.68682
1A1N.pdb,pMHC_122.pdb,-20.8648,-16.12238
1A1N.pdb,pMHC_102.pdb,-24.36561,-19.33411
1A1N.pdb,pMHC_041.pdb,-20.72891,-15.71529
1A1N.pdb,pMHC_137.pdb,-20.94418,-16.25041
1A1N.pdb,pMHC_023.pdb,-20.35455,-14.36732
1A1N.pdb,pMHC_107.pdb,-24.03126,-18.84868
1A1N.pdb,pMHC_117.pdb,-21.31076,-16.28021
1A1N.pdb,pMHC_142.pdb,-21.34623,-16.47781
1A1N.pdb,pMHC_004.pdb,-22.88226,-16.99424
1A1N.pdb,pMHC_033.pdb,-21.01504,-15.93744
1A1N.pdb,pMHC_007.pdb,-22.49524,-16.8155
1A1N.pdb,pMHC_110.pdb,-21.48866,-16.75268
1A1N.pdb,pMHC_124.pdb,-20.79636,-15.92037
1A1N.pdb,pMHC_128.pdb,-18.39879,-13.32194
1A1N.pdb,pMHC_139.pdb,-20.88471,-15.76012
1A1N.pdb,pMHC_148.pdb,-23.88621,-19.20293
1A1N.pdb,pMHC_013.pdb,-19.9204,-14.44886
1A1N.pdb,pMHC_106.pdb,-23.98993,-18.79586
1A1N.pdb,pMHC_006.pdb,-22.14341,-16.43101
1A1N.pdb,pMHC_105.pdb,-23.94402,-18.81821
1A1N.pdb,pMHC_145.pdb,-22.21633,-17.6547
1A1N.pdb,pMHC_103.pdb,-24.12119,-18.98019
1A1N.pdb,pMHC_141.pdb,-21.19148,-15.99804
1A1N.pdb,pMHC_100.pdb,-23.98806,-18.74108
1A1N.pdb,pMHC_136.pdb,-21.30425,-16.3198
1A1N.pdb,pMHC_025.pdb,-20.66366,-15.71545
1A1N.pdb,pMHC_138.pdb,-22.27822,-17.57913
1A1N.pdb,pMHC_129.pdb,-20.65388,-15.57584
1A1N.pdb,pMHC_120.pdb,-22.37782,-17.762
1A1N.pdb,pMHC_143.pdb,-23.46026,-18.74569
1A1N.pdb,pMHC_135.pdb,-21.14406,-15.42083
1A1N.pdb,pMHC_112.pdb,-22.92542,-17.80174
1A1N.pdb,pMHC_147.pdb,-22.61275,-17.8185
