pdb_code,filename,gradock,molPDF
1A1M.pdb,pMHC_0019.pdb,135533.969,320.9107971191406
1A1M.pdb,pMHC_0016.pdb,135417.875,320.9229431152344
1A1M.pdb,pMHC_0018.pdb,135499.812,320.912109375
1A1M.pdb,pMHC_0045.pdb,0.0,984.949951171875
1A1M.pdb,pMHC_0000.pdb,135549.141,320.7457580566406
1A1M.pdb,pMHC_0096.pdb,0.0,985.7003784179688
1A1M.pdb,pMHC_0004.pdb,135245.484,321.32122802734375
1A1M.pdb,pMHC_0013.pdb,135366.844,321.5555419921875
1A1M.pdb,pMHC_0008.pdb,135408.25,320.77996826171875
1A1M.pdb,pMHC_0011.pdb,135517.828,321.1885070800781
1A1M.pdb,pMHC_0002.pdb,135486.984,320.5240783691406
1A1M.pdb,pMHC_0010.pdb,135560.281,321.2028503417969
1A1M.pdb,pMHC_0003.pdb,135419.906,321.0821838378906
1A1M.pdb,pMHC_0006.pdb,135441.703,321.0492858886719
1A1M.pdb,pMHC_0014.pdb,135318.047,321.7320861816406
1A1M.pdb,pMHC_0061.pdb,136115.422,320.7754821777344
1A1M.pdb,pMHC_0053.pdb,135853.922,321.2148132324219
1A1M.pdb,pMHC_0005.pdb,135281.109,320.7077331542969
1A1M.pdb,pMHC_0012.pdb,135571.297,320.9913024902344
1A1M.pdb,pMHC_0001.pdb,135318.812,321.2496337890625
1A1M.pdb,pMHC_0015.pdb,135484.875,321.4961853027344
1A1M.pdb,pMHC_0066.pdb,135946.578,321.3888854980469
1A1M.pdb,pMHC_0017.pdb,135529.703,321.1678466796875
1A1M.pdb,pMHC_0009.pdb,135521.25,320.9193420410156
1A1M.pdb,pMHC_0007.pdb,135635.422,320.9621276855469
1A1N.pdb,pMHC_108.pdb,135960.625,323.2538757324219
1A1N.pdb,pMHC_008.pdb,136428.703,322.8401184082031
1A1N.pdb,pMHC_101.pdb,136094.0,323.4706115722656
1A1N.pdb,pMHC_115.pdb,136497.359,323.0548400878906
1A1N.pdb,pMHC_146.pdb,136318.062,323.2521057128906
1A1N.pdb,pMHC_125.pdb,136293.562,322.8865966796875
1A1N.pdb,pMHC_021.pdb,136226.422,322.5748291015625
1A1N.pdb,pMHC_011.pdb,136664.656,322.94097900390625
1A1N.pdb,pMHC_126.pdb,136171.547,322.94671630859375
1A1N.pdb,pMHC_122.pdb,136400.25,322.9305725097656
1A1N.pdb,pMHC_102.pdb,136060.812,323.04144287109375
1A1N.pdb,pMHC_041.pdb,136638.438,323.22088623046875
1A1N.pdb,pMHC_137.pdb,136414.297,323.0439758300781
1A1N.pdb,pMHC_023.pdb,136499.406,323.2590026855469
1A1N.pdb,pMHC_107.pdb,135858.203,323.0066223144531
1A1N.pdb,pMHC_117.pdb,136358.297,323.5266418457031
1A1N.pdb,pMHC_142.pdb,136601.25,323.0444641113281
1A1N.pdb,pMHC_004.pdb,136386.641,323.3802490234375
1A1N.pdb,pMHC_033.pdb,136403.047,322.8026123046875
1A1N.pdb,pMHC_007.pdb,136480.609,323.116455078125
