pdb_code,filename,ref2015
1A1M.pdb,pMHC_0000.pdb,-186.961761231815
1A1M.pdb,pMHC_0001.pdb,-213.618660111344
1A1M.pdb,pMHC_0002.pdb,-195.481698803416
1A1M.pdb,pMHC_0003.pdb,-195.369969159048
1A1M.pdb,pMHC_0004.pdb,-215.818228165351
1A1M.pdb,pMHC_0005.pdb,-225.92168817201
1A1M.pdb,pMHC_0006.pdb,-222.472848355123
1A1M.pdb,pMHC_0007.pdb,-175.424606532816
1A1M.pdb,pMHC_0008.pdb,-191.670230651484
1A1M.pdb,pMHC_0009.pdb,-219.351952858107
1A1M.pdb,pMHC_0010.pdb,-194.188650297712
1A1M.pdb,pMHC_0011.pdb,-234.465079760718
1A1M.pdb,pMHC_0012.pdb,-191.530576516078
1A1M.pdb,pMHC_0013.pdb,-224.012344671142
1A1M.pdb,pMHC_0014.pdb,-217.808216604229
1A1M.pdb,pMHC_0015.pdb,-229.578109231413
1A1M.pdb,pMHC_0016.pdb,-228.141098838703
1A1M.pdb,pMHC_0017.pdb,-195.591647311578
1A1M.pdb,pMHC_0018.pdb,-226.362806348576
1A1M.pdb,pMHC_0019.pdb,-200.331406830608
1A1M.pdb,pMHC_0045.pdb,145.373600969992
1A1M.pdb,pMHC_0053.pdb,-195.184756437779
1A1M.pdb,pMHC_0061.pdb,-189.110780209706
1A1M.pdb,pMHC_0066.pdb,-208.124887990374
1A1M.pdb,pMHC_0096.pdb,142.825567212665
1A1N.pdb,pMHC_000.pdb,-440.723521642607
1A1N.pdb,pMHC_001.pdb,-345.773144169094
1A1N.pdb,pMHC_002.pdb,-436.127007591936
1A1N.pdb,pMHC_003.pdb,-374.561640408376
1A1N.pdb,pMHC_004.pdb,-440.62683437097
1A1N.pdb,pMHC_005.pdb,-235.666959234205
1A1N.pdb,pMHC_006.pdb,-343.976599151706
1A1N.pdb,pMHC_007.pdb,-368.675690830231
1A1N.pdb,pMHC_008.pdb,-370.889077019049
1A1N.pdb,pMHC_009.pdb,-334.504084674545
1A1N.pdb,pMHC_011.pdb,-405.033327976933
1A1N.pdb,pMHC_013.pdb,-437.877669015584
1A1N.pdb,pMHC_015.pdb,-456.401712699476
1A1N.pdb,pMHC_021.pdb,-461.406765086542
1A1N.pdb,pMHC_023.pdb,-396.26150358163
1A1N.pdb,pMHC_025.pdb,-416.104032959841
1A1N.pdb,pMHC_033.pdb,-433.91801157001
1A1N.pdb,pMHC_041.pdb,-460.290738061035
1A1N.pdb,pMHC_100.pdb,-407.140693531772
1A1N.pdb,pMHC_101.pdb,-415.44454525915
1A1N.pdb,pMHC_102.pdb,-415.270885266192
1A1N.pdb,pMHC_103.pdb,-414.86729108789
1A1N.pdb,pMHC_104.pdb,-405.185082130491
1A1N.pdb,pMHC_105.pdb,-412.948753038835
1A1N.pdb,pMHC_106.pdb,-409.824041118242
1A1N.pdb,pMHC_107.pdb,-410.224760099624
1A1N.pdb,pMHC_108.pdb,-414.342475495586
1A1N.pdb,pMHC_109.pdb,-415.902265439993
1A1N.pdb,pMHC_110.pdb,-430.040830422351
1A1N.pdb,pMHC_111.pdb,-420.132008774762
1A1N.pdb,pMHC_112.pdb,-435.550602790536
1A1N.pdb,pMHC_113.pdb,-412.262019747934
1A1N.pdb,pMHC_114.pdb,-470.943950488077
1A1N.pdb,pMHC_115.pdb,-423.404431171271
1A1N.pdb,pMHC_116.pdb,-418.610245386411
1A1N.pdb,pMHC_117.pdb,-420.402133211617
1A1N.pdb,pMHC_118.pdb,-457.890070941275
1A1N.pdb,pMHC_119.pdb,-384.422897971265
1A1N.pdb,pMHC_120.pdb,-434.063765739968
1A1N.pdb,pMHC_121.pdb,-427.143960409865
1A1N.pdb,pMHC_122.pdb,-404.159811191477
1A1N.pdb,pMHC_123.pdb,-420.005633924823
1A1N.pdb,pMHC_124.pdb,-430.897389939008
1A1N.pdb,pMHC_125.pdb,-450.185368693677
1A1N.pdb,pMHC_126.pdb,-438.481512647189
1A1N.pdb,pMHC_127.pdb,-431.927605849554
1A1N.pdb,pMHC_128.pdb,-357.032498857416
1A1N.pdb,pMHC_129.pdb,-459.210789099604
1A1N.pdb,pMHC_130.pdb,-430.75561207097
1A1N.pdb,pMHC_131.pdb,-442.274587148527
1A1N.pdb,pMHC_133.pdb,-473.13283751832
1A1N.pdb,pMHC_134.pdb,-366.891727449284
1A1N.pdb,pMHC_135.pdb,-424.636838361513
1A1N.pdb,pMHC_136.pdb,-475.667774101513
1A1N.pdb,pMHC_137.pdb,-410.886040902945
1A1N.pdb,pMHC_138.pdb,-484.532094035267
1A1N.pdb,pMHC_139.pdb,-442.074403940089
1A1N.pdb,pMHC_140.pdb,-391.153481720024
1A1N.pdb,pMHC_141.pdb,-417.663182340986
1A1N.pdb,pMHC_142.pdb,-409.04498106137
1A1N.pdb,pMHC_143.pdb,-477.308764183553
1A1N.pdb,pMHC_145.pdb,-424.542165459494
1A1N.pdb,pMHC_146.pdb,-423.476645607462
1A1N.pdb,pMHC_147.pdb,-424.418208054584
1A1N.pdb,pMHC_148.pdb,-439.265368610048
1A1N.pdb,pMHC_149.pdb,-410.129960753877
1A1O.pdb,pMHC_0000.pdb,-248.646382907115
1A1O.pdb,pMHC_0001.pdb,-250.685229869157
1A1O.pdb,pMHC_0002.pdb,-280.615016905264
1A1O.pdb,pMHC_0003.pdb,-245.905319912969
1A1O.pdb,pMHC_0004.pdb,-260.937199876167
1A1O.pdb,pMHC_0005.pdb,-261.919146582772
1A1O.pdb,pMHC_0006.pdb,-262.022693510739
1A1O.pdb,pMHC_0007.pdb,-265.052926828613
1A1O.pdb,pMHC_0008.pdb,-247.087198963847
1A1O.pdb,pMHC_0009.pdb,-254.599943933173
1A1O.pdb,pMHC_0010.pdb,-254.846394644779
1A1O.pdb,pMHC_0011.pdb,-242.133552309951
1A1O.pdb,pMHC_0012.pdb,-256.601044383466
1A1O.pdb,pMHC_0013.pdb,-253.032661516744
1A1O.pdb,pMHC_0014.pdb,-252.556755407507
1A1O.pdb,pMHC_0015.pdb,-256.156529608346
1A1O.pdb,pMHC_0016.pdb,-256.797360588341
1A1O.pdb,pMHC_0017.pdb,-247.915277895384
1A1O.pdb,pMHC_0018.pdb,-258.264460390485
1A1O.pdb,pMHC_0019.pdb,-258.870491749929
1A1O.pdb,pMHC_0020.pdb,-193.589925586542
1A1O.pdb,pMHC_0021.pdb,-201.12266354974
1A1O.pdb,pMHC_0022.pdb,-246.259852770779
1A1O.pdb,pMHC_0023.pdb,-241.949062955762
